,index,count,cum_sum,cum_percent,meal_super_category
2113,Osteraktion,1,4369703,99.99217399,
2114,Azubikochtag,1,4369704,99.99219688,
2115,Cheeseburger,1,4369705,99.99221976,
2116,Betonmischer,1,4369706,99.99224264,
2117,Schuttrutsche,1,4369707,99.99226553,
2118,Förderband,1,4369708,99.99228841,
2119,Senfpeitsche,1,4369709,99.99231129,
2120,Baubude,1,4369710,99.99233418,
2121,Rüttelplatte,1,4369711,99.99235706,
2122,x Tagessuppe x,1,4369712,99.99237994,
2123,"Getränke ""StraNa""",1,4369713,99.99240282,
2124,"Salatbar ""StraNa""",1,4369714,99.99242571,
2125,Mörtelkelle,1,4369715,99.99244859,
2126,Baggerschaufel,1,4369716,99.99247147,
2127,Standard Französische woche (siehe aushang vor ort),1,4369717,99.99249436,
2128,Spezialitätenbuffet Französische woche (siehe aushang vor ort),1,4369718,99.99251724,
2129,Aktion GO-Next,1,4369719,99.99254012,
2130,Holiday-Food Italien,1,4369720,99.99256301,
2131,Holiday-Food Elsass,1,4369721,99.99258589,
2132,Holiday-Food Südtirol,1,4369722,99.99260877,
2133,Tagesgericht - Nur solange der Vorrat reicht,1,4369723,99.99263165,
2134,Mittag / lunch 1,1,4369724,99.99265454,
2135,In der Mensa (Halle10) 8.00-14.30Uhr,1,4369725,99.99267742,
2136,In der Kaffeebar HaSi (Halle17) 9.30-16.30Uhr,1,4369726,99.9927003,
2137,Tagesgericht - So lange der Vorrat reicht!,1,4369727,99.99272319,
2138,Tagesgericht - Solanger der Vorrat reicht,1,4369728,99.99274607,
2139,Tagesangebot - Nur so langer Vorrat reicht,1,4369729,99.99276895,
2140,Gnocchiauflauf,1,4369730,99.99279184,
2141,Campus Cooking Vive la France,1,4369731,99.99281472,
2142,Pasta mit,1,4369732,99.9928376,
2143,"Entenbruststreifen auf Wokgemüse, dazu gebratene Mie Nudeln (Auch fleischlos möglich",1,4369733,99.99286049,
2144,"Hühnchen mit Ananas, Pfirsich und knackigem Gemüse in Curry, dazu gebratene Nudeln (Auch fleischlos möglich",1,4369734,99.99288337,
2145,"Aprikosen-Quarkauflauf mit Kirschen, dazu Porree-Apfelsalat mit gerösteten Sonnenblumenkernen (Auflauf klein",1,4369735,99.99290625,
2146,Thai-Geflügelhackbällchen auf Wokgemüse mit Mango-Currysoße und Basmati Reis (Auch vegetarisch möglich,1,4369736,99.99292913,
2147,"Bayerisch-Schwäbisch Beilagen 0,75",1,4369737,99.99295202,
2148,"Putenbrust im Backteig auf buntem Gemüse aus dem Wok, dazu gebratene Nudeln oder Basmati Reis (Auch fleischlos möglich",1,4369738,99.9929749,
2149,Putenbrust im Backteig mit Wokgemüse und Mie Nudeln (Vegan möglich,1,4369739,99.99299778,
2150,"Putencurry mit Apfel und Kürbis, dazu gebratene Mie Nudeln (Vegetarisch",1,4369740,99.99302067,
2151,"Entenbruststreifen Soja-Pflaume mit Bohnensprossen, Karotten, Kaiserschoten und Broccoli, dazu Reis (Auch vegan möglich",1,4369741,99.99304355,
2152,Reis (Beilage),1,4369742,99.99306643,
2153,Mittag / lunch 2,1,4369743,99.99308932,
2154,Angebot  2,1,4369744,99.9931122,
2155,"Gebratenes Pangasiusfilet mit Polentakruste, dazu Gemüsekartoffeln und Zitronen-Pfeffer-Dip (alternativ",1,4369745,99.99313508,
2156,Angebot 3 - Nur solange der Vorrat reicht,1,4369746,99.99315797,
2157,D und E sind beide geöffnet,1,4369747,99.99318085,
2158,Rind Schwein Geflügel Fisch,1,4369748,99.99320373,
2159,Pizza Day,1,4369749,99.99322661,
2160,Aktion: Tipp,1,4369750,99.9932495,
2161,Geflügel Fisch Vegan,1,4369751,99.99327238,
2162,Geflügel Vegetarisch Fisch MSC Fisch,1,4369752,99.99329526,
2163,Azubiaktion,1,4369753,99.99331815,
2164,Rind Geflügel Vegetarisch,1,4369754,99.99334103,
2165,Rind Schwein Vegetarisch,1,4369755,99.99336391,
2166,Lehrlings-Aktion,1,4369756,99.9933868,
2167,zzzSmoothies,1,4369757,99.99340968,
2168,Tagesempfehlung,1,4369758,99.99343256,
2169,Pizza groß,1,4369759,99.99345544,
2170,Brasilien,1,4369760,99.99347833,
2171,England,1,4369761,99.99350121,
2172,USA,1,4369762,99.99352409,
2173,Afrika,1,4369763,99.99354698,
2174,Heisse Theke,1,4369764,99.99356986,
2175,Angebot 1 - Nur solange der Vorrat reicht,1,4369765,99.99359274,
2176,Mittagsangebot1,1,4369766,99.99361563,
2177,Chigago-Bacon-Cheese Burger,1,4369767,99.99363851,
2178,Putenbruststreifen mit asiatischem Gemüse und gebratene Mie Nudeln (Auch fleischlos möglich,1,4369768,99.99366139,
2179,Burrito,1,4369769,99.99368428,
2180,"Kohlroulade in deftiger Bratensoße, dazu Schmorkraut und Petersilienkartoffeln - Barzahlungspreis für Gäste",1,4369770,99.99370716,
2181,"Blumenkohl und Wurzelgemüse in Kräuterrahm mit gerösteten Sonnenblumenkernen, dazu Petersilienkartoffeln",1,4369771,99.99373004,
2182,Züricher Schweinegeschnetzeltes mit Spätzle,1,4369772,99.99375292,
2183,Unser Angebot zum Weltvegantag,1,4369773,99.99377581,
2184,Tagesaktion 5,1,4369774,99.99379869,
2185,"Hausgemachter Kuchen, heute",1,4369775,99.99382157,
2186,vegan 2,1,4369776,99.99384446,
2187,Menü 1.,1,4369777,99.99386734,
2188,Menü 2..,1,4369778,99.99389022,
2189,Rakottkrumpli,1,4369779,99.99391311,
2190,Seelachs Burger,1,4369780,99.99393599,
2191,Das kroatische Nationalgericht,1,4369781,99.99395887,
2192,Menü 1 Aktionswoche,1,4369782,99.99398176,
2193,Cotoletta di pollo aromatzzatio,1,4369783,99.99400464,
2194,Griechischer Grillteller,1,4369784,99.99402752,
2195,"Fischplatte nach ""Sicilia Art""",1,4369785,99.9940504,
2196,Mediterran Burger,1,4369786,99.99407329,
2197,Burritos,1,4369787,99.99409617,
2198,Welt-Vegan-Tag Shogok,1,4369788,99.99411905,
2199,Aphrodite Teller,1,4369789,99.99414194,
2200,Soja-Chiligeschnetzeltes mit Paprikabulgur - Barzahlungspreis für Gäste,1,4369790,99.99416482,
2201,Buffet vegetarisch/vegan,1,4369791,99.9941877,
2202,"Hähnchenkeule California (mit Pfirsich und Tabasco), dazu Buttermais und Kräuterreis - Barzahlungspreis für Gäste",1,4369792,99.99421059,
2203,Angebot für Schülergruppe,1,4369793,99.99423347,
2204,Nachmittagsangebot II,1,4369794,99.99425635,
2205,Aktion III,1,4369795,99.99427924,
2206,Geschlossen,1,4369796,99.99430212,
2207,Essen D,1,4369797,99.994325,
2208,Pasta 3,1,4369798,99.99434788,
2209,Classic S,1,4369799,99.99437077,
2210,Donnerstag - Eintopf / Suppe,1,4369800,99.99439365,
2211,Mensa to go,1,4369801,99.99441653,
2212,Vege- tarisch,1,4369802,99.99443942,
2213,Mensa  Asia,1,4369803,99.9944623,
2214,Angebot Welt Vegan Tag,1,4369804,99.99448518,
2215,Suppen zu Bursepreisen,1,4369805,99.99450807,
2216,Aktion Salat,1,4369806,99.99453095,
2217,Biogericht 9,1,4369807,99.99455383,
2218,Für Schülergruppe,1,4369808,99.99457671,
2219,Vegan 3,1,4369809,99.9945996,
2220,Vegan 4,1,4369810,99.99462248,
2221,Menü 1-VEGAN,1,4369811,99.99464536,
2222,Menü 2-VEGAN,1,4369812,99.99466825,
2223,Moussaka,1,4369813,99.99469113,
2224,Honey-Mustard glazed Ribs Magere,1,4369814,99.99471401,
2225,Big Chicago-Cheese Burger Black Pearl,1,4369815,99.9947369,
2226,Eröffnung der Fußball-WM in Brasilien,1,4369816,99.99475978,
2227,Nudeltheke von 11.00 bis 14.00 Uhr,1,4369817,99.99478266,
2228,Tagesangebot - solange der Vorrat reicht,1,4369818,99.99480555,
2229,Nudelbar von 11.00 bis 14.00 Uhr,1,4369819,99.99482843,
2230,Nudelbar - 11:00 - 14:00 Uhr,1,4369820,99.99485131,
2231,Tagesangebot-solange der Vorrat reicht,1,4369821,99.99487419,
2232,Tagesangebot  Solange der Vorrat reicht,1,4369822,99.99489708,
2233,Tagesangebot - solange drer Vorrat reicht,1,4369823,99.99491996,
2234,In der Mensa Fraunhofer Campus,1,4369824,99.99494284,
2235,Grillmenü 4,1,4369825,99.99496573,
2236,Grillmenü 3,1,4369826,99.99498861,
2237,Grillmenü 1,1,4369827,99.99501149,
2238,zzzWOK-Pfanne Premium,1,4369828,99.99503438,
2239,zzzWOK-Pfanne,1,4369829,99.99505726,
2240,zzzVeganes GerichtPremium,1,4369830,99.99508014,
2241,zzzSchneller Teller,1,4369831,99.99510303,
2242,Vegetarirches Gericht NEU,1,4369832,99.99512591,
2243,Highlight der Woche Hamurger,1,4369833,99.99514879,
2244,"Bunte Salatvariation mit Lollo Rosso, Feldsalat, Möhre, Gurke, Tomate, Paprika und Hähnchenstreifen, dazu Gartenkräuterdressing und Brötchen Vegetarische Alternative",1,4369834,99.99517167,
2245,Highlight der Woche - Von unserer Landfleischerei,1,4369835,99.99519456,
2246,MEER 1,1,4369836,99.99521744,
2247,"ZEITREISE 25 Jahre Studentenwerke, damals gab´s",1,4369837,99.99524032,
2248,EM Aktion Portugal,1,4369838,99.99526321,
2249,Pangasiusfilet Lemmon-Koriander auf hausgemachtem Kartoffelsalat (alternativ vegetarisch,1,4369839,99.99528609,
2250,EM Aktion England,1,4369840,99.99530897,
2251,Chicken Fingers Burger,1,4369841,99.99533186,
2252,^B,1,4369842,99.99535474,
2253,Crispy Seelachs Burger,1,4369843,99.99537762,
2254,Los Angeles Teriyaki Burger,1,4369844,99.99540051,
2255,Mediterraner Burger,1,4369845,99.99542339,
2256,Ranger Potato,1,4369846,99.99544627,
2257,Vital Vegan,1,4369847,99.99546915,
2258,Menü 2 „aktion fisch und mee(h)r“,1,4369848,99.99549204,
2259,Vegetarisch Ausgabe am menü 1,1,4369849,99.99551492,
2260,Jamaika Jerk Chicken,1,4369850,99.9955378,
2261,Menü Ii Vegetaria**,1,4369851,99.99556069,
2262,Menü Iii,1,4369852,99.99558357,
2263,Wok/grill,1,4369853,99.99560645,
2264,Mousaka,1,4369854,99.99562934,
2265,New Yorker Chicken Ramen Burger,1,4369855,99.99565222,
2266,Vegan Vital,1,4369856,99.9956751,
2267,Meisterwerk Aktion,1,4369857,99.99569798,
2268,Querbeet 1,1,4369858,99.99572087,
2269,Hähnchenschnitzel auf Wokgemüse mit Mango-Currysoße und Basmati Reis (Auch fleischlos möglich,1,4369859,99.99574375,
2270,"  Bunte Tortellini mit Tomaten­sauce und geriebenem Hart­käse (1,2,a,c,g,i)  1,80 € / 3,15 €  ",1,4369860,99.99576663,
2271,Vegetarisch TG 4,1,4369861,99.99578952,
2272,Schweden,1,4369862,99.9958124,
2273,Hausgemachte Pasta - Heute,1,4369863,99.99583528,
2274,EM Woche-Kroatien,1,4369864,99.99585817,
2275,EM Woche-England,1,4369865,99.99588105,
2276,EM Woche-Frankreich,1,4369866,99.99590393,
2277,EM Woche-Polen,1,4369867,99.99592682,
2278,EM Woche-Spanien,1,4369868,99.9959497,
2279,Heute im Angebot an der Desserttheke ,1,4369869,99.99597258,
2280,"Mariniertes Lachsfilet auf Wokgemüse , dazu gebratene Mie Nudeln (auch vegan möglich",1,4369870,99.99599546,
2281,Türkei,1,4369871,99.99601835,
2282,letzter Tag am Grill,1,4369872,99.99604123,
2283,"  Winter­li­ches Anti­pas­ti­ge­müse (3,k)       Basi­li­k­umdip (f,j)      2,40 € / 3,75 €  ",1,4369873,99.99606411,
2284,Ferien vom 23.12.2017 bis 01.01.2018,1,4369874,99.996087,
2285,"Gebratene Schweinemedaillons auf buntem Wokgemüse, dazu Kokosreis (Auch fleischlos möglich",1,4369875,99.99610988,
2286,"Im Tempurateig frittierte Hähnchenbrust auf buntem Gemüse aus dem Wok, dazu Basmati Reis (Auch vegan möglich",1,4369876,99.99613276,
2287,"Rindergulasch mit Preiselbeeren, Sauerkirschen und grünem Pfeffer, dazu Prinzessbohnen, Hefeknödel oder Kartoffelklöße ODER Jägerschnitzel (panierte Jagdwurst) mit Tomatensoße und Petersilienkartoffeln, dazu Salat",1,4369877,99.99615565,
2288,Cafeteria Info,1,4369878,99.99617853,
2289,Extra am Grill,1,4369879,99.99620141,
2290,Hausgemachte Pasta am Grill,1,4369880,99.9962243,
2291,Weihnachtsmarkt...,1,4369881,99.99624718,
2292,Frohe Weihnachten und einen guten Rutsch...,1,4369882,99.99627006,
2293,Tag der offenen Tür,1,4369883,99.99629294,
2294,Geänderte Öffnungzeit,1,4369884,99.99631583,
2295,Hähnchen im Backteig auf gebratenen Mie Nudeln (Auch fleischlos möglich,1,4369885,99.99633871,
2296,Gebratene Entenbruststreifen auf buntem Wokgemüse mit gebratenen Mie Nudeln (Auch vegetarisch  möglich,1,4369886,99.99636159,
2297,"  Soja­sch­netzel Tikka Masala (3,f,j,m)        2,00 € / 3,60 €  ",1,4369887,99.99638448,
2298,"  Kartof­fel­rollis Toma­te-Moz­za­rella (g)      Oliven­c­reme (f,j)      1,80 € / 3,40 €  ",1,4369888,99.99640736,
2299,"  Gemü­se­paella mit Voll­kornreis und Walnüssen (2,a,f,h,m)        2,40 € / 3,75 €  ",1,4369889,99.99643024,
2300,"  Brat­nu­delp­fanne mit Asia­ge­müse (2,a,f,m)      Red Thaidip (2,3,5)      1,60 € / 2,95 €  ",1,4369890,99.99645313,
2301,"  Pilz-Stro­ganoff mit Gemü­se-Pilaw (2,9,f,i)        1,80 € / 3,15 €  ",1,4369891,99.99647601,
2302,"  Kicher­erb­sen-Hir­sep­fanne       Minz­c­re­medip (3,f)       1,80 € / 3,15 €  ",1,4369892,99.99649889,
2303,"  Gebra­tene Thymi­an­kar­tof­feln       Grüne Mojo (f,j)       1,60 € / 2,95 €  ",1,4369893,99.99652177,
2304,"  Bio-Tor­tel­lini mit Sauce Bolog­nese (a)         2,80 € / 4,35 €  ",1,4369894,99.99654466,
2305,"  Gemü­sep­fanne mit Rucola       Papri­kadip (f,j)      1,80 € / 3,15 €  ",1,4369895,99.99656754,
2306,"  Bio-Spag­hetti (a)       Bio-So­ja-Bo­log­nese (f)        1,95 € / 3,30 €  ",1,4369896,99.99659042,
2307,"  Curry Cous­cous mit Pilzen und Zucchini (3,a,f)       Minz­c­re­medip (3,f)       2,40 € / 3,75 €  ",1,4369897,99.99661331,
2308,"  Cannel­loni mit Spinat und Käsesauce (1,2,a,c,g)       -  ",1,4369898,99.99663619,
2309,"Hühnchen mit Ananas, Pfirsich und knackigem Gemüse in Curry, dazu Reis (Auch vegan möglich",1,4369899,99.99665907,
2310,Geänderte Öffnungszeiten,1,4369900,99.99668196,
2311,Tagesmenüs,1,4369901,99.99670484,
2312,"Hähnchen Thai Sweet Chili mit buntem Paprika, Zwiebeln, Sprossen und Zucchini, dazu gebratene Mie Nudeln -Auch vegan möglich",1,4369902,99.99672772,
2313,"Hähnchen Thai Sweet Chili mit buntem Paprika, Zwiebeln, Sprossen und Zucchini, dazu gebratene Mie Nudeln (Auch vegan möglich",1,4369903,99.99675061,
2314,"Im Tempurateig frittierte Hähnchenbrust auf buntem Gemüse, dazu Basmati Reis (Vegan",1,4369904,99.99677349,
2315,Hähnchen Thai Sweet Chili mit gebratenen Mie Nudeln ODER Reis -Auch vegan möglich,1,4369905,99.99679637,
2316,Pfingsten,1,4369906,99.99681925,
2317,Frischer Spargel am Grill...bald ist die Saison vorbei!,1,4369907,99.99684214,
2318,WM Menü am Grill,1,4369908,99.99686502,
2319,Aktionswoche Südsee heute Tuvalu,1,4369909,99.9968879,
2320,Aktionswoche Südsee heute Pitcairn,1,4369910,99.99691079,
2321,Aktionswoche Südsee heute Samoa,1,4369911,99.99693367,
2322,EG Nord 11.30 - 14.30 Uhr,1,4369912,99.99695655,
2323,"Hähnchenbrust im Backteig auf frischem Wokgemüse, dazu gebratene Mie Nudeln (Auch vegan möglich",1,4369913,99.99697944,
2324,HEIMSPIEL | MG Nord 11.30 - 21.00 Uhr,1,4369914,99.99700232,
2325,"MEISTERWERK | EG Nord, 11.30 - 14.30 Uhr",1,4369915,99.9970252,
2326,95 Jahre Studentenwerk Dresden,1,4369916,99.99704809,
2327,"Schweineschnitzel mit Paprikasoße, buntem Gemüse und Petersilienkartoffeln ODER vegetarisch",1,4369917,99.99707097,
2328,Tellergericht 9,1,4369918,99.99709385,
2329,"Dessert 0,95",1,4369919,99.99711673,
2330,"Currywurst mit Pommes frites, dazu Salat (Barzahlungspreis",1,4369920,99.99713962,
2331,"Fladenbrot-Burger mit Hirtenkäse oder Blumenkohl-Käseburger, dazu Tsatsiki-Dip und Pommes frites (Barzahlungspreis",1,4369921,99.9971625,
2332,Durch Deutschland Regionen-Heute,1,4369922,99.99718538,
2333,Bauerngulasch mit Spätzle oder Kartoffeln (Salat nach Wunsch/ Portion,1,4369923,99.99720827,
2334,Schweineschnitzel mit Zitronenecke und Pommes frites ---ODER Schweineschnitzel mit Cremechampignons und Pommes frites/ Petersilienkartoffeln,1,4369924,99.99723115,
2335,"Schweineschnitzel mit Zitronenecke und Pommes frites ODER Bergbauernschnitzel mit Bratkartoffeln oder Pommes frites, dazu Salat",1,4369925,99.99725403,
2336,Der Renner,1,4369926,99.99727692,
2337,Angebot 3 a,1,4369927,99.9972998,
2338,Schülermenü vegetarisch,1,4369928,99.99732268,
2339,Aktionswoche Südsee heute Tahiti,1,4369929,99.99734557,
2340,New Yorker Delis Pflaumenzimmes,1,4369930,99.99736845,
2341,WM Spezial am Grill,1,4369931,99.99739133,
2342,London Gefilte Fisch fritt,1,4369932,99.99741421,
2343,"Konzert ""Survival Paket"" (15:00 Uhr)",1,4369933,99.9974371,
2344,Nacht der Klänge Spanisches Dessert,1,4369934,99.99745998,
2345,AmGrill,1,4369935,99.99748286,
2346,Burger am  Grill,1,4369936,99.99750575,
2347,Cafeteria Menü Oktoberfest Menü,1,4369937,99.99752863,
2348,Jubiläums Burger,1,4369938,99.99755151,
2349,Pasta  am Wok,1,4369939,99.9975744,
2350,Weinachtsessen am Grill,1,4369940,99.99759728,
2351,Weihnachtliches am Grill,1,4369941,99.99762016,
2352,X-Mas Burger,1,4369942,99.99764304,
2353,Karneval am Kuchenbuffet,1,4369943,99.99766593,
2354,Süß,1,4369944,99.99768881,
2355,Angebot zur Spargelwoche - Hausgemachte Pasta,1,4369945,99.99771169,
2356,Cafeteria Menü vegean,1,4369946,99.99773458,
2357,Cafeteria Men,1,4369947,99.99775746,
2358,"Gebackener Seelachs auf frischem Wokgemüse, dazu gebratene Mie Nudeln (Auch ohne Fisch möglich",1,4369948,99.99778034,
2359,Hausgemachte frische Pasta-Heute,1,4369949,99.99780323,
2360,"Entenbrust mit Soja-Pflaume, Sprossen und Karotten, dazu gebratene Mie Nudeln (auch vegan möglich",1,4369950,99.99782611,
2361,Marokko Agneau aux raisins secs et aux amandes,1,4369951,99.99784899,
2362,"  Gemü­se-Reisp­fanne mit Grün­kern (1,a)      Pepe­ronidip (f,j)      1,80 € / 3,15 €  ",1,4369952,99.99787188,
2363,"  Gemüse­pfanne mit bunten Linsen       Rote Mojo (f,j)       1,80 € / 3,15 €  ",1,4369953,99.99789476,
2364,"  Penne all arrabbiata (a,i)  1,60 € / 2,95 €  ",1,4369954,99.99791764,
2365,"  Soja­ge­sch­netzl­tes­Tikka Masala (3,f,j,m)        2,00 € / 3,60 €  ",1,4369955,99.99794052,
2366,"  Wrap mit Erdbeeren und Vanille­creme (3,a,f)       2,40 € / 3,75 €  ",1,4369956,99.99796341,
2367,"  Scharfe Brat­nudeln mit Wok-Gemüse und Cashew­kernen (2,4,a,f,h,m)       1,60 € / 2,95 €  ",1,4369957,99.99798629,
2368,"  Hähnchen­brust Arabi­sche Art (a)      Mandel- Rosinen­sauce (2,h)       1,70 € / 3,30 €  ",1,4369958,99.99800917,
2369,"  Farfalle­nudeln mit Blatt­spinat (a)      Tomatendip       1,60 € / 2,95 €  ",1,4369959,99.99803206,
2370,"  Hähnchen­brust auf Ratatouille (1,a)        1,70 € / 3,30 €  ",1,4369960,99.99805494,
2371,"  Linguine auf mediterranem Wirsing mit Pinien­kernen (a)       1,60 € / 2,95 €  ",1,4369961,99.99807782,
2372,"  Reis-Spinat­puffer (a)       2,40 € / 3,75 €  ",1,4369962,99.99810071,
2373,"  Bio-Tortellini (a)       Bio-Tomaten­sauce mit Gemüse (a,g,i)       1,95 € / 3,30 €  ",1,4369963,99.99812359,
2374,"  Power Wrap- Middle East- mit Minzdip (3,a,f,h)        2,40 € / 3,75 €  ",1,4369964,99.99814647,
2375,"  Bohnen-Zucchini-Chili mit Vollkorn­reis (3)        2,30 € / 3,65 €  ",1,4369965,99.99816936,
2376,"  Kartof­fel-Brok­ko­li­auflauf (3,c,g,i,k)      Muskat­ve­louté (1,a,g)      1,60 € / 2,95 €  ",1,4369966,99.99819224,
2377,"  Steck­rüben-Bohnen-Paprika-Curry mit Chili­kartoffeln (3,a,f,k)        2,40 € / 3,75 €  ",1,4369967,99.99821512,
2378,"  Klima­Tel­ler: Farfalle­nudeln mit Blatt­spinat (a)      Tomatendip       1,60 € / 2,95 €  ",1,4369968,99.998238,
2379,"  Klima­Tel­ler: Knackige Sauer­kraut­pfanne mit Trauben und Klößen (1,2,f)       1,80 € / 3,15 €  ",1,4369969,99.99826089,
2380,"  Bohnen-Bulgur­ragout mit Champignons, Paprika und Walnüssen, dazu Bananen-So­jas­hake (3,a,e,f,h)       2,60 € / 3,95 €  ",1,4369970,99.99828377,
2381,"  Bio-Ge­mü­sep­fanne mit Dinkel (a)       Bio-Tomaten­sauce (f)       1,95 € / 3,30 €  ",1,4369971,99.99830665,
2382,"  Spaghetti mit Ragout von roten Linsen (a,i)       2,10 € / 3,45 €  ",1,4369972,99.99832954,
2383,"  Asia­ti­sche Gemü­se-Reis­pfanne (m)      Red Thaidip (2)      1,60 € / 2,95 €  ",1,4369973,99.99835242,
2384,"  Italienische Bio-Gemüse­pfanne         1,95 € / 3,30 €  ",1,4369974,99.9983753,
2385,"  Zart­weizen-Kartoffel-Gratin mit Roter Bete und Möhren (a,f)      Frühlings­lauch­sauce (1,a,f)      1,60 € / 2,95 €  ",1,4369975,99.99839819,
2386,"  Bio-Tortellini (a,c)       Bio-Tomaten­sauce mit Gemüse (a,g,i)       1,95 € / 3,30 €  ",1,4369976,99.99842107,
2387,"  Bulgur-Bohnen­salat mit Studen­ten­futter und Rote Bete-Dip (3,a,f,h,k)       2,40 € / 3,75 €  ",1,4369977,99.99844395,
2388,"  Reis-Spinat­puffer (a)      Tomatendip       1,80 € / 3,15 €  ",1,4369978,99.99846684,
2389,"  Vegane Bulette Berliner Art mit geschmorten Zwiebeln und Äpfeln (a,f,j)       2,25 € / 3,60 €  ",1,4369979,99.99848972,
2390,"  Bio-Weizen-Blumen­kohl­bratling (a,c,m) Bio-Lauch­sauce (a,g) 1,95 € / 3,55 €  ",1,4369980,99.9985126,
2391,"  Nasi Goreng (2,4,a,f,m) Melonen-Chili-Sauce 1,60 € / 2,95 €  ",1,4369981,99.99853548,
2392,"  Gers­toni Kürbis-Curry (a)  1,80 € / 3,15 €  ",1,4369982,99.99855837,
2393,"  Gemüse­pfanne mit Rucola  Schnitt­lauchdip (f,j) 1,80 € / 3,15 €  ",1,4369983,99.99858125,
2394,"  Bio-Kartoffel-Brokkoli­auflauf (c,g) Muskat­ve­louté (1,a,g) 1,95 € / 3,30 €  ",1,4369984,99.99860413,
2395,"  Gebackene Süßkartoffel mit Quinoa-Cran­ber­rytop­ping (1,h)  1,80 € / 3,15 €  ",1,4369985,99.99862702,
2396,"  Tagliatelle an Rucola-Nuss­pesto mit Pinien­kernen, dazu eine Grill­tomate (a,h)  2,85 € / 4,20 €  ",1,4369986,99.9986499,
2397,"  Bio-Stangen­spargel  Bio-Kräuter­sauce (a,f) 2,90 € / 4,50 €  ",1,4369987,99.99867278,
2398,"  Falafel-Qui­noa­burger (2,3,a,f,m)  2,60 € / 3,95 €  ",1,4369988,99.99869567,
2399,"  Brat­nudel­pfanne mit Asia­gemüse (2,4,a,f,m) Red Thaidip (2) 1,60 € / 2,95 €  ",1,4369989,99.99871855,
2400,"  Kicher­erbsen-Hirse­pfanne  Minz­c­re­medip (3,f) 1,80 € / 3,15 €  ",1,4369990,99.99874143,
2401,"  Gebratene Thymian­kartoffeln  Grüne Mojo (f,j) 1,60 € / 2,95 €  ",1,4369991,99.99876431,
2402,"  Gemüse­paella mit Vollkorn­reis und Walnüssen (2,4,a,f,h,m)  2,40 € / 3,75 €  ",1,4369992,99.9987872,
2403,"  Gemüse­lasagne mit Sonnen­blumen­kernen (1,2,a,c,g,i) Frühlings­lauch­sauce (1,a,g) 1,80 € / 3,15 €  ",1,4369993,99.99881008,
2404,"  Bio-Tortellini mit Sauce Bolognese (a,c)  2,80 € / 4,15 €  ",1,4369994,99.99883296,
2405,"  Gemüse­pfanne mit Rucola  Paprikadip (f,j) 1,80 € / 3,15 €  ",1,4369995,99.99885585,
2406,"  Bio-Spaghetti (a) Bio-Soja-Bolognese (f) 1,95 € / 3,30 €  ",1,4369996,99.99887873,
2407,"  Auberginen im Haferflocken­mantel mit Tomaten­sauce und Gemüse­bulgur (a)       2,30 € / 3,65 €  ",1,4369997,99.99890161,
2408,"  Curry Couscous mit Pilzen und Zucchini (3,a,f)       Paprikadip (f,j)      2,40 € / 3,75 €  ",1,4369998,99.9989245,
2409,"  Penne all arrabbiata (a,i)       1,60 € / 2,95 €  ",1,4369999,99.99894738,
2410,"  Gebratene Thymian­kartoffeln       Rote Mojo (f,j)       1,80 € / 3,15 €  ",1,4370000,99.99897026,
2411,"  Rote Linsen mit Kokos­curry und Bananen-Soja-Shake (f)        2,85 € / 4,20 €  ",1,4370001,99.99899315,
2412,"  Klima­Tel­ler: Linguine auf mediterranem Wirsing mit Pini­en­kernen (a)       1,60 € / 2,95 €  ",1,4370002,99.99901603,
2413,"  Zart­wei­zen-Gemüse­pfanne (a)      Paprikadip (f,j)      1,60 € / 2,95 €  ",1,4370003,99.99903891,
2414,"  Power Wrap- Middle East- mit Minzdip (3,a,f,h,j)        2,40 € / 3,75 €  ",1,4370004,99.99906179,
2415,"  Soja­sch­netzel Tikka Masala (3,f,j,m)        2,00 € / 3,35 €  ",1,4370005,99.99908468,
2416,"  Klima­Tel­ler: Tortel­li­ni­salat mit klarem Pesto­dressing (2,3,a,e,h,i,k)       316 g CO2äq  2,40 € / 3,75 €  ",1,4370006,99.99910756,
2417,"  Hähnchen­brust Arabi­sche Art (a)      Mandel- Rosi­nensauce (2,h)       1,70 € / 3,30 €  ",1,4370007,99.99913044,
2418,"  Ofen­kar­toffel       Grüne Mojo (f,j)       1,60 € / 2,95 €  ",1,4370008,99.99915333,
2419,"  Steckr­ü­b­en-Bohnen-Paprika-Curry mit Chili­kartoffeln (3,a,f,k)        2,40 € / 3,75 €  ",1,4370009,99.99917621,
2420,"  Grüne Tortel­lini (a,i)       Toma­ten-Ge­mü­sesauce (a,i)      1,80 € / 3,15 €  ",1,4370010,99.99919909,
2421,"  Bolly­wood-Kar­tof­fel­curry mit Brok­koli und Mohn (1,f)        1,80 € / 3,15 €  ",1,4370011,99.99922198,
2422,"  Gebra­tene Udon­nu­deln mit Pilzen und Gemüse (2,a,f,m)       2,00 € / 3,35 €  ",1,4370012,99.99924486,
2423,"  Bohnen-Bul­gur­ra­gout mit Cham­pig­nons, Paprika und Walnüs­sen, dazu Bana­nen-So­jas­hake (3,a,e,f,h)       2,60 € / 3,95 €  ",1,4370013,99.99926774,
2424,"  Bio-Ge­mü­sep­fanne mit Dinkel (a)       Bio-To­ma­tensauce (f)       1,95 € / 3,30 €  ",1,4370014,99.99929063,
